season,round,date,name,venue,heat,phase,gate,rider,points,position,rank
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,1,main,,Artiom Łaguta,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,1,main,,Jason Doyle,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,1,main,,Matej Žagar,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,1,main,,Martin Vaculik,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,2,main,,Max Fricke,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,2,main,,Oliver Berntzon,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,2,main,,Jan Kvěch,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,2,main,,Fredrik Lindgren,0,x,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,3,main,,Maciej Janowski,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,3,main,,Emil Sajfutdinow,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,3,main,,Krzysztof Kasprzak,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,3,main,,Anders Thomsen,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,4,main,,Leon Madsen,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,4,main,,Tai Woffinden,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,4,main,,Bartosz Zmarzlik,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,4,main,,Robert Lambert,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,5,main,,Emil Sajfutdinow,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,5,main,,Bartosz Zmarzlik,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,5,main,,Artiom Łaguta,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,5,main,,Oliver Berntzon,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,6,main,,Tai Woffinden,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,6,main,,Jan Kvěch,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,6,main,,Krzysztof Kasprzak,0,x,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,6,main,,Daniel Klíma,1,3,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,6,main,,Jason Doyle,,t,5
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,7,main,,Leon Madsen,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,7,main,,Fredrik Lindgren,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,7,main,,Anders Thomsen,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,7,main,,Martin Vaculik,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,8,main,,Robert Lambert,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,8,main,,Matej Žagar,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,8,main,,Max Fricke,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,8,main,,Maciej Janowski,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,9,main,,Artiom Łaguta,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,9,main,,Robert Lambert,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,9,main,,Jan Kvěch,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,9,main,,Anders Thomsen,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,10,main,,Maciej Janowski,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,10,main,,Jason Doyle,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,10,main,,Leon Madsen,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,10,main,,Oliver Berntzon,0,d,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,11,main,,Martin Vaculik,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,11,main,,Emil Sajfutdinow,2,2,2
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,11,main,,Max Fricke,1,3,3
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,11,main,,Tai Woffinden,0,4,4
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Fredrik Lindgren,3,1,1
2021,1,2021-07-16,I. runda FIM Speedway Grand Prix w Pradze,Pradze,12,main,,Bartosz Zmarzlik,2,2,2
