season,round,date,heat,excluded_rider,substitute_rider,method,source
2020,1,2020-08-28,4,Gleb Chugunov,Przemysław Liszka,web,https://pl.wikipedia.org/wiki/Grand_Prix_Polski_I_na_Żużlu_2020
2020,3,2020-09-11,11,Patryk Dudek,Wiktor Jasinski,web,https://pl.wikipedia.org/wiki/Grand_Prix_Polski_III_na_Żużlu_2020
2020,3,2020-09-11,15,Patryk Dudek,Rafał Karczmarz,web,https://pl.wikipedia.org/wiki/Grand_Prix_Polski_III_na_Żużlu_2020
2020,3,2020-09-11,19,Patryk Dudek,Wiktor Jasinski,web,https://pl.wikipedia.org/wiki/Grand_Prix_Polski_III_na_Żużlu_2020
2020,4,2020-09-12,1,Patryk Dudek,Rafał Karczmarz,web,https://pl.wikipedia.org/wiki/Grand_Prix_Polski_IV_na_Żużlu_2020
2020,5,2020-09-18,1,Tai Woffinden,Eduard Krcmar,web,https://en.wikipedia.org/wiki/2020_Speedway_Grand_Prix_of_Czech_Republic
2020,5,2020-09-18,8,Leon Madsen,Jan Kvěch,web,https://en.wikipedia.org/wiki/2020_Speedway_Grand_Prix_of_Czech_Republic
2020,5,2020-09-18,20,Maciej Janowski,Eduard Krcmar,web,https://en.wikipedia.org/wiki/2020_Speedway_Grand_Prix_of_Czech_Republic
2020,6,2020-09-19,18,Vaclav Milik,Eduard Krcmar,web,https://en.wikipedia.org/wiki/2020_Speedway_Grand_Prix_of_Czech_Republic
2020,8,2020-10-03,18,Niels Kristian Iversen,Wiktor Trofimow,web,https://pl.wikipedia.org/wiki/Grand_Prix_Polski_VI_na_Żużlu_2020
2021,1,2021-07-16,6,Krzysztof Kasprzak,Daniel Klíma,web,https://en.wikipedia.org/wiki/2021_Speedway_Grand_Prix_of_Czech_Republic
2021,2,2021-07-18,8,Leon Madsen,Petr Chlupac,web,https://en.wikipedia.org/wiki/2021_Speedway_Grand_Prix_of_Czech_Republic
2021,3,2021-07-30,1,Krzysztof Kasprzak,Tobiasz Musielak,web,https://sportowefakty.wp.pl/zuzel/952038/zuzel-grand-prix-polski-poznalismy-listy-startowe-turniejow-we-wroclawiu
2021,4,2021-07-31,17,Tobiasz Musielak,Bartlomiej Kowalski,web,https://sportowefakty.wp.pl/zuzel/952038/zuzel-grand-prix-polski-poznalismy-listy-startowe-turniejow-we-wroclawiu
2021,5,2021-08-06,3,Robert Lambert,Wiktor Lampart,web,https://en.wikipedia.org/wiki/2021_Speedway_Grand_Prix_of_Poland
2021,6,2021-08-07,12,Martin Vaculik,Mateusz Swidnicki,web,https://en.wikipedia.org/wiki/2021_Speedway_Grand_Prix_of_Poland
2021,6,2021-08-07,15,Martin Vaculik,Wiktor Lampart,web,https://en.wikipedia.org/wiki/2021_Speedway_Grand_Prix_of_Poland
2021,6,2021-08-07,17,Martin Vaculik,Mateusz Swidnicki,web,https://en.wikipedia.org/wiki/2021_Speedway_Grand_Prix_of_Poland
2021,7,2021-08-14,15,Pontus Aspgren,Kim Nilsson,web,https://fimspeedway.com/news/swedish-star-nilssons-malilla-nomination-confirmed-as-track-reserves-revealed
2021,8,2021-08-28,9,Krzysztof Kasprzak,Renat Gafurov,web,https://en.wikipedia.org/wiki/2021_Speedway_Grand_Prix_of_Russia
2021,10,2021-10-01,9,Robert Lambert,Krzysztof Lewandowski,web,https://sportowefakty.wp.pl/zuzel/902920/zuzel-grand-prix-zmiana-rezerwowego-w-obsadzie-turniejow-w-toruniu
2021,10,2021-10-01,12,Martin Vaculik,Karol Żupiński,web,https://sportowefakty.wp.pl/zuzel/902920/zuzel-grand-prix-zmiana-rezerwowego-w-obsadzie-turniejow-w-toruniu
2021,10,2021-10-01,16,Fredrik Lindgren,Karol Żupiński,web,https://sportowefakty.wp.pl/zuzel/902920/zuzel-grand-prix-zmiana-rezerwowego-w-obsadzie-turniejow-w-toruniu
2021,10,2021-10-01,20,Martin Vaculik,Krzysztof Lewandowski,web,https://sportowefakty.wp.pl/zuzel/902920/zuzel-grand-prix-zmiana-rezerwowego-w-obsadzie-turniejow-w-toruniu
